م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
362,شركة الحلول الرقمية العالمية المالية,Financial Global Digital Solutions Company - Neoleap
363,الشركة الخليجية الأولى للتعهدات والمقاولات,First gulf company for contracting and supplies
364,الشركة الوطنية الاولى للموارد البشرية,First National Resources Company (FNRCO)
365,شركة شبكة التقنية الأولى,First Tech Web Company
366,شركة فتكر للتجارة الدولية,Fitkar for International Trading
367,فلنت كونسلتنغ السعودية التقنية للمقاولات,Flint Consulting Saudi Technical Contracting 
368,طيران ناس,Fly nas
369,شركة وحدة الغذاء القابضة,food unit holding company
370,فرع شركة فورتينت يوكيه ليمتد,Fortinet Company
371,شركة فوسام المحدودة,Fosam Co. Ltd.
372,شركة المطاحن الرابعة,Fourth Milling Company
373,اف بي تي لتقنية المعلومات,FPT Information technology
374,شركة فرايكن دايم لتأجير الشاحنات ,Fraikin Dayim Truck Rental
375,شركة فريسينه السعودية العربية,Freyssinet saudi arabia
376,شركة اف تي جي ديفيلوبمينت المحدودة (شخص واحد),FTG development ltd co
377,شركة شبكات المستقبل  للإتصالات,Future Networks Telecommunication Company
378,مصنع مركز جنرال الكتريك لتكنولوجيا صناعة الطاقة ,GE energy manufacturing technology center factory
379,جيديا,Geidea
380,فرع مصنع جنرال اليكتريك جلوبل سيرفيسزجي ام بي اتش,General Electric global services GMBM
381,شركة جنرال الكتريك العربية للرعاية الصحبة المحدودة,General Electric Healthcare Arabia
382,جنرال الكتريك السعودية للتوربينات المتطورة,General Electric Saudi Advanced Turbines
383,‏شركة غسان أحمد السليمان لتجارة المفروشات,Ghassan Ahmed Al-Sulaiman Development Co. Ltd. (IKEA)
384,شركة جيزة العربية لأنظمة,Giza Arabia
385,شركة جلاكسو العربية السعودية المحدودة,Glaxo Saudi Arabia Company
386,شركة جليدز السعودية لخدمات الاعمال,Gleeds Saudi Arabia for Business Services
387,شركة نجمة العالم للتجارة,Global Star Trading L.L.C
388,شركة جولدن ايس المختصة للتجارة,Golden Ice Specialist for Trading Company
389,شركة الذهب الأخضر للتجارة,Green Gold trading Co
390,شركة التطبيقات الخليجية,Gulf Applications Co
391,شركة الخليج للتموين ,Gulf Catering
392,مصنع اغذية الخليج للتموين,Gulf Catering Food Factory
393,شركة اتحاد المقاولون الخليجية ,Gulf Consolidated Contractors
394,شركة الخليج للتوزيع المباشر,Gulf direct distribution co
395,شركة الخليج الدولية للإستثمار ,Gulf International Investment Company
396,شركة الخليج لصناعات التغليف,Gulf Packaging industries co.
397,شركة حافل للنقل,Hafil transport company 
398,شركة حلا بستاني التجارية,Hala Bostani Trading Company
399,شركة هاليون العربية المحدودة,Haleon Arabia limited company
400,شركة هاليبورتوون انيرجي سيرفيسيز انك,Halliburton Energy Services
401,هانمي جلوبال السعودية,Hanmi Global Saudi
402,‏شركة حصانة الاستثمارية,Hassana Investment Company
403,شركة تعبئة المياه الصحية,health water bottling CO
404,هايكفيجين (SILZ) ذ.م.م,Hikvision Saudi Arabia (SILZ) LLC
405,شركة هيتاشي الطاقة المحدودة,Hitachi Energy Industrial Co
406,شركة هني ويل لمنتجات التشغيل الألي والتحكم المحدودة,Honeywell Automation & control Products Ltd
407,شركة هوني ويل التركي العربية المحدودة,Honeywell Turki-Arabia Limited
408,شركة هواوي تك انفسمنت العربية السعودية المحدودة ,Huawei Tech. Investment Saudi Arabia Co. LTD
409,شركة هدهد الرقمية لتقنية المعلومات,Hudhud Digital Information Technology Company 
410,شركة هنقرستيشن المحدودة,Hungerstation Company Limited
411,شركة الورق الصحي المحدودة,Hygienic Paper Co.ltd
412,فرع شركة أي بي أم مدل ايست ,IBM Middle east
413,شركة ابراهيم شاكر المحدودة,Ibrahim shaker company ltd 
414,شركة ابريز الشرق للمقاولات و الصيانة ,IBRIZE ALSHARQ CONTRACTING AND MAINTENANCE CO
415,شركة الأمثل للأعمال والاستثمار التجاري ,Ideal for business and commercial investment
416,"شركة اختصار الزمن لنقل الطرود ""تطبيق مستر مندوب""",Ikhtisar Al Zaman company to transfer of parcels
417,شركة إمداد للأعمال الطبية المحدودة,Imdad medical business co. Itd
418,شركة تطوير وتشغيل المدن الصناعية المحدودة,Industrial Cities Development and operating Co
419,شركة انفرا تك للاتصالات وتقنية المعلومات,Infratech CO for Communications and IT
420,شركة أنيشيال العربية السعودية المحدودة,Initial Saudi Arabia Company Limited 
421,شركة المنشآت الذكية للتشغيل والصيانة المحدودة,INNOVATIVE FACILITY MANAGEMENT SERVICES
422,شركة الحلول المتميزة شركة مساهمة سعودية مقفلة,Innovative Solutions
423,شركة بيت التأمين لوساطة التأمين,Insurance House Company
424,شركة الحلول التقنية الذكية لتقنية المعلومات,Intelligent Technology Solutions for IT (Intelmatix)
425,شركة المصنع العالمي لأنظمة المباني المحدودة,International Building Systems Factory Company
426,شركة خدمات الاغذية العالمية القابضة,International food services holding Co.
427,الشركة الدولية للموارد البشرية,International Human Resource Company
428,شركة لوازم الدولية الطبية شركة شخص واحد,International medical supplies company
429,شركة انترا للتقنيات الدفاعية,Intra Defense Technologies
430,شركة إسماعيل أبو داود وبروكتر آند قامبل المحدودة,Ismail Abudawood and Procter & Gamble Limited
431,شركة أي تي تي السعودية,ITT Saudi Company
432,شركة جاكوبس للاستشارات الهندسية,Jacops engineering consultants
433,شركة جدوى البساتين للعقارات شركة شخص واحد,Jadoui al-basatin for real estate company
434,شركة مخزن أدوية جمجوم ,Jamjoom medical store co.
435,شركة مصنع الجزيرة للدهانات,Jazeera Factory for Paints Co
436,شركة مجموعة الجريسي (مساهمة مقفلة),JERAISY GROUP CO
437,شركة جبال ينبع العالمية للمقاولات,Jibal yanbu international for constructions
438,شركة جيزان المتكاملة لتحويل الغاز وللطاقة ,Jizan Integration Gasification and Power Company
439,شركة جميرة التجارية المحدودة ,Jumeirah Trading Company
440,شركة عصام قباني وشركاه للإنشاءات والصيانة,KABBANI FOR CONSTRUCTION & MAINTENANCE
441,شركة كابي التقنيات لتقنية المعلومات ,KABi Technologies
442,كفاءات حلول الأعمال المحدودة,Kafaat Business Solutions
443,شركة كي سي اي الخليج للحفر المحدودة,KCA deutag Gulf Drilling Ltd.Co
444,كيلوج براون اندروت ليمتد عزمي عبداللطيف عبدالهادي وعبدالله مهنا المعيبد,Kellogg brown & root limited - azmi abdulhadi & abdulla al moaibed (KBR - AMCDE)
445,كيو إنترناشيونال كونسلتنتس للاستشارات الهندسية شركة شخص واحد,KEO International Consultants for Engineering
446,شركة خالد احمد الجفالي ,Khaled Ahmed Juffali Co
447,شركة خالد الحداد للاتصالات المحدودة,Khalid Al-Haddad Telecom Co
448,شركة كنان الدولية للتطوير العقاري ,Kinan International real Estate Development Co
449,شركة مدينة المعرفة الإقتصادية ,knowledge Economic City Company
450,شركة شبكة المعرفة للحاسب الآلي ,Knowledgenet
451,شركة كي بي ام جي للاستشارات المهنية (مساهمة مهنية),KPMG Professional Services
452,شركة كي اس بي العربية للمضخات المحدودة,KSB pumps arabia ltd
453,شركة كوني اند ناجل المحدودة,Kuehne and Nagel ltd.
454,شركة كندرل السعودية لتقنية المعلومات,Kyndryl Saudi Information Technology Company
